"ΗΜ/ΝΙΑ ΚΙΝΗΣΗΣ";ΗΜ/ΝΙΑ ΑΞΙΑΣ;ΠΕΡΙΓΡΑΦΗ;ΠΟΣΟ;ΥΠΟΛΟΙΠΟ
25/10/2019;25/10/2019;EKO DIGENAKI MARIA AND SIA EE;-37,00;15.555,95
24/10/2019;24/10/2019;MANIGKA  ATHIN GR;-23,00;15.592,95
23/10/2019;23/10/2019;GIAKOUME P. FA GR;-20,00;15.615,95
21/10/2019;21/10/2019;REVOIL ANASTASIOS PALANTZAS;-165,00;15.635,95
18/10/2019;18/10/2019;ΠΛΗΡΩΜΗ OASA POS;-30,00;15.800,95
14/10/2019;14/10/2019;MEGA PARKING EPE;-8,00;15.830,95
11/10/2019;11/10/2019;MEGA PARKING EPE;-8,00;15.838,95
11/10/2019;11/10/2019;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-70,00;15.846,95
08/10/2019;08/10/2019;KOINONIA LEGRE GR;-4,10;15.916,95
07/10/2019;07/10/2019;MEGA PARKING EPE;-8,00;15.921,05
07/10/2019;07/10/2019;PAYPAL * 35314 LU;-34,99;15.929,05
01/10/2019;01/10/2019;FILOXENI KALAV GR;-191,70;15.964,04
01/10/2019;01/10/2019;NIKE RET MOSCH GR;-103,20;16.155,74
01/10/2019;01/10/2019;VRAKAS S PIREA GR;-12,00;16.258,94
30/09/2019;30/09/2019;PAYPAL * 35314 GR;-37,90;16.270,94
30/09/2019;30/09/2019;201909SA;1.625,07;16.308,84
30/09/2019;30/09/2019;ΒΕΒΑΙΩΜΕΝΕΣ ΟΦΕΙΛΕΣ -144063417;-192,93;14.683,77
26/09/2019;26/09/2019;ARAZO PA PEIRA GR;-3,60;14.876,70
26/09/2019;26/09/2019;POI 4500202000000253;0,34;14.880,30
19/09/2019;19/09/2019;SUSHI RO PEIRA GR;-49,30;14.879,96
16/09/2019;16/09/2019;MPAIRAKT ATHIN GR;-4,00;14.929,26
16/09/2019;16/09/2019;PAYPAL * 35314 GR;-11,70;14.933,26
16/09/2019;16/09/2019;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,50;14.944,96
16/09/2019;16/09/2019;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-20,86;14.945,46
13/09/2019;13/09/2019;D KAI TH THEODOROPOULOS OE;-54,00;14.966,32
12/09/2019;12/09/2019;ICEROLL;-1,70;15.020,32
12/09/2019;12/09/2019;ICEROLL;-1,70;15.022,02
11/09/2019;11/09/2019;CREME ROYALE EE;-4,70;15.023,72
11/09/2019;11/09/2019;ICEROLL;-1,70;15.028,42
11/09/2019;11/09/2019;THE SUSHI BAR;-83,00;15.030,12
10/09/2019;10/09/2019;D TSOTSOLOS & SIA IKE;-1,00;15.113,12
09/09/2019;09/09/2019;KOINONIA LEGRE GR;-4,10;15.114,12
09/09/2019;09/09/2019;CREME ROYALE EE;-2,50;15.118,22
09/09/2019;09/09/2019;ICEROLL;-1,70;15.120,72
06/09/2019;06/09/2019;ISTAVRIO ATHIN GR;-8,40;15.122,42
06/09/2019;06/09/2019;CREME ROYALE EE;-2,70;15.130,82
