
"ΗΜ/ΝΙΑ ΚΙΝΗΣΗΣ";ΗΜ/ΝΙΑ ΑΞΙΑΣ;ΠΕΡΙΓΡΑΦΗ;ΠΟΣΟ;ΥΠΟΛΟΙΠΟ
26/10/2018;26/10/2018;COOK SHOP PEIRAIA;-24,95;4.540,40
24/10/2018;24/10/2018;CHIPAKI  PEIRA GR;-37,20;4.565,35
22/10/2018;22/10/2018;VRAKAS S PIREA GR;-12,00;4.602,55
12/10/2018;12/10/2018;D ASIMAKOPOULOS F ZAMPELIS SIA;-12,00;4.614,55
10/10/2018;10/10/2018;SANTA PASTA EPE;-32,90;4.626,55
09/10/2018;09/10/2018;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,30;4.659,45
09/10/2018;09/10/2018;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-17,47;4.659,75
05/10/2018;05/10/2018;ΠΛΗΡΩΜΗ OASA POS;-13,50;4.677,22
02/10/2018;02/10/2018;CHOCOLAT PEIRA GR;-26,50;4.690,72
28/09/2018;28/09/2018;ATTIKA POLIKATASTIMATA;-134,90;4.717,22
28/09/2018;28/09/2018;SEPTEMBER2018;1.416,38;4.852,12
17/09/2018;17/09/2018;SUSHI RO PEIRA GR;-51,00;3.435,74
17/09/2018;17/09/2018;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,30;3.486,74
17/09/2018;17/09/2018;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-17,47;3.487,04
10/09/2018;10/09/2018;EKO VARYTHYMIADIS GEORGIOS;-75,00;3.504,51
31/08/2018;31/08/2018;AUGUST 2018;1.416,38;3.579,51
27/08/2018;27/08/2018;ΠΛΗΡΩΜΗ OASA POS;-30,00;2.163,13
24/08/2018;24/08/2018;PORTO LEONE IKE;-28,12;2.193,13
24/08/2018;24/08/2018;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,30;2.221,25
24/08/2018;24/08/2018;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-24,53;2.221,55
23/08/2018;23/08/2018;ΘPOYMΩI  MHkOΣ GR;-44,50;2.246,08
20/08/2018;20/08/2018;ΑΝΑΛΗΨΗ ΜΕΤΡΗΤΩΝ ΑΠΟ ΑΤΜ;-450,00;2.290,58
20/08/2018;20/08/2018;AEGEAN TEMETERON  21;-38,50;2.740,58
16/08/2018;16/08/2018;KOINONIA LEGRE GR;-4,10;2.779,08
13/08/2018;13/08/2018;VRAKAS S PIREA GR;-12,00;2.783,18
07/08/2018;07/08/2018;HONDOS CENTER ERMOU;-60,41;2.795,18
07/08/2018;07/08/2018;ZAGOURI  LAVRI GR;-25,69;2.855,59
31/07/2018;31/07/2018;JULY2018;1.416,38;2.881,28
30/07/2018;30/07/2018;ΠΛΗΡΩΜΗ ΒΕΒΑΙΩΜΕΝΩΝ -144063417;-338,91;1.464,90
26/07/2018;26/07/2018;SARRI KYRIAKI;-225,50;1.803,81
24/07/2018;24/07/2018;EKO DENAXAS SPYRIDON;-30,00;2.029,31
23/07/2018;23/07/2018;REVOIL ANASTASIOS PALANTZAS;-250,50;2.059,31
20/07/2018;20/07/2018;CHASAPAK ATHIN GR;-1,90;2.309,81
20/07/2018;20/07/2018;TAILOR M ATHIN GR;-4,00;2.311,71
17/07/2018;17/07/2018;ΠΛΗΡΩΜΗ OASA POS;-30,00;2.315,71
17/07/2018;17/07/2018;B KOUTI  NEA F GR;-20,00;2.345,71
17/07/2018;17/07/2018;TELARO   ATHIN GR;-1,80;2.365,71
16/07/2018;16/07/2018;KOSTOPOU ATHIN GR;-3,00;2.367,51
12/07/2018;12/07/2018;KREMA-KA PIREA GR;-4,70;2.370,51
11/07/2018;11/07/2018;OI ANGEL PEIRA GR;-1,50;2.375,21
09/07/2018;09/07/2018;KREMA-KA PIREA GR;-4,80;2.376,71
09/07/2018;09/07/2018;SHELL SPOURDALAKIS KONSTANTINO;-61,00;2.381,51
05/07/2018;05/07/2018;Ψ.BAΣIkO ΩEIPA GR;-10,30;2.442,51
04/07/2018;04/07/2018;KREMA-KA PIREA GR;-1,70;2.452,81
03/07/2018;03/07/2018;OI ANGEL PEIRA GR;-1,50;2.454,51
03/07/2018;03/07/2018;POLIS HA ATHIN GR;-43,00;2.456,01
02/07/2018;02/07/2018;ΠΛΗΡΩΜΗ OASA POS;-13,50;2.499,01
02/07/2018;01/07/2018;ΦΟΡΟΣ ΤΟΚΩΝ;-0,01;2.512,51
02/07/2018;01/07/2018;ΠΙΣΤΩΤΙΚΟΙ ΤΟΚΟΙ;0,06;2.512,52
29/06/2018;29/06/2018;JUNE 2018;1.416,38;2.512,46
28/06/2018;28/06/2018;KREMA-KA PIREA GR;-1,70;1.096,08
26/06/2018;26/06/2018;ΠΡ.ΠΛ.VODAFONE ΚΙΝ/ΣΤΘ ΑΠΟ WEB;-0,30;1.097,78
26/06/2018;26/06/2018;ΠΛΗΡΩΜΗ VODAFONE ΚΙΝΗ-11810188;-52,97;1.098,08
26/06/2018;26/06/2018;TRIAN/DI PEIRA GR;-27,30;1.151,05
26/06/2018;26/06/2018;VRAKAS S PIREA GR;-12,00;1.178,35
25/06/2018;25/06/2018;MESOGEIO PEIRA GR;-24,95;1.190,35
25/06/2018;25/06/2018;KAPRALOS PEIRA GR;-70,00;1.215,30
25/06/2018;25/06/2018;KAHUNA E ATHIN GR;-66,30;1.285,30
