"гл/миа йимгсгс";гл/миа аниас;пеяицяажг;посо;упокоипо
07/01/2020;07/01/2020;пя.пк.VODAFONE йим/стх апо WEB;-0,50;19.559,07
07/01/2020;07/01/2020;пкгяылг VODAFONE йимг-11810188;-47,44;19.559,57
02/01/2020;02/01/2020;THEATRIK ATHIN GR;-40,00;19.607,01
02/01/2020;01/01/2020;жояос тойым;-0,31;19.647,01
02/01/2020;01/01/2020;пистытийои тойои;2,04;19.647,32
27/12/2019;27/12/2019;JYSK G02 PEIRA GR;-200,00;19.645,28
27/12/2019;27/12/2019;TAILOR H ATHIN GR;-7,90;19.845,28
27/12/2019;27/12/2019;JAMES JO ATHIN GR;-20,00;19.853,18
24/12/2019;24/12/2019;ELKA BAT PEIRA GR;-70,00;19.873,18
24/12/2019;24/12/2019;DIAMANTI PEIRA GR;-15,00;19.943,18
24/12/2019;24/12/2019;FARMA KE VARVA GR;-7,29;19.958,18
24/12/2019;24/12/2019;CERCIZ A ATHIN GR;-19,90;19.965,47
24/12/2019;24/12/2019;KOUZELI  ATHIN GR;-24,50;19.985,37
24/12/2019;24/12/2019;ONNIK IKE;-57,17;20.009,87
24/12/2019;24/12/2019;GERODIMOS D GERODIMOU E OE;-2,30;20.067,04
24/12/2019;24/12/2019;амакгьг летягтым апо атл;-250,00;20.069,34
23/12/2019;23/12/2019;LIDL ATHINA PEIRAIAS ALIPEDOY;-23,96;20.319,34
23/12/2019;23/12/2019;GENIKI TAXIDROMIKI PIREAS IROO;-43,80;20.343,30
23/12/2019;23/12/2019;ПОЯТА-ЙАЯЕЙКА;55,00;20.387,10
23/12/2019;23/12/2019;KOTOPOULA PAPOUTSI MON EP;-10,60;20.332,10
20/12/2019;20/12/2019;ZIMARI P PEIRA GR;-2,60;20.342,70
19/12/2019;19/12/2019;201912;3.435,73;20.345,30
05/12/2019;05/12/2019;PAYPAL * 35314 GR;-12,10;16.909,57
03/12/2019;03/12/2019;VRAKAS S PIREA GR;-12,00;16.921,67
02/12/2019;02/12/2019;PAPAPOULIOS DIMITRIOS;-35,00;16.933,67
02/12/2019;02/12/2019;пкгяылг OASA POS;-13,50;16.968,67
29/11/2019;29/11/2019;201911;1.380,39;16.982,17
25/11/2019;25/11/2019;ALL MOBI VARI  GR;-8,00;15.601,78
25/11/2019;25/11/2019;PAYPAL * 35314 LU;-16,70;15.609,78
22/11/2019;22/11/2019;250 remaining БАЙОМДИОР 195ser;-445,00;15.626,48
22/11/2019;22/11/2019;MGT PROD GLYFA GR;-110,00;16.071,48
22/11/2019;22/11/2019;VIVA ILE ATHIN GR;-6,60;16.181,48
21/11/2019;21/11/2019;500/750 БАЙОМДИОР;-500,00;16.188,08
20/11/2019;20/11/2019;SERVICE  MOSCH GR;-146,41;16.688,08
20/11/2019;20/11/2019;ZEAS KRE PERIS GR;-8,30;16.834,49
20/11/2019;20/11/2019;VASSILOP PEIRA GR;-10,20;16.842,79
19/11/2019;19/11/2019;O KIPOS  PEIRA GR;-4,60;16.852,99
19/11/2019;19/11/2019;DREAMWOR ATHIN GR;-6,50;16.857,59
19/11/2019;19/11/2019;F.VASILO PIREA GR;-18,52;16.864,09
19/11/2019;19/11/2019;KALYPSO  NEA F GR;-20,00;16.882,61
18/11/2019;18/11/2019;PAYPAL * 35314 GR;-12,00;16.902,61
18/11/2019;18/11/2019;EDI PER  ATHIN GR;-11,60;16.914,61
18/11/2019;18/11/2019;TO KAFE  PIREA GR;-19,20;16.926,21
18/11/2019;18/11/2019;SUSHI BA PEIRA GR;-28,80;16.945,41
18/11/2019;18/11/2019;бебаиылемес ожеикес -144063417;-192,92;16.974,21
12/11/2019;12/11/2019;KTEOHELLAS AE;-55,00;17.167,13
11/11/2019;11/11/2019;ECO CHEC MOSCH GR;-10,00;17.222,13
11/11/2019;11/11/2019;пя.пк.VODAFONE йим/стх апо WEB;-0,50;17.232,13
11/11/2019;11/11/2019;пкгяылг VODAFONE йимг-11810188;-20,22;17.232,63
04/11/2019;04/11/2019;SIX DOGS ATHIN GR;-24,00;17.252,85
04/11/2019;04/11/2019;SPENTZOS ATHIN GR;-15,00;17.276,85
04/11/2019;04/11/2019;ALEXANDR PIREA GR;-8,00;17.291,85
04/11/2019;04/11/2019;TO KAFE  PIREA GR;-13,00;17.299,85
31/10/2019;31/10/2019;PERI ORE KALAV GR;-46,00;17.312,85
31/10/2019;31/10/2019;CHAMAKIO KALAV GR;-17,00;17.358,85
31/10/2019;31/10/2019;TETRAMUT DIAKO GR;-16,20;17.375,85
31/10/2019;31/10/2019;201910;1.857,80;17.392,05
30/10/2019;30/10/2019;VILLAGE MALL ATHENS;-12,20;15.534,25
30/10/2019;30/10/2019;PRAKTORE KALAV GR;-2,00;15.546,45
30/10/2019;30/10/2019;ERMEIDIS KALAV GR;-7,50;15.548,45
"";;;;
"";;;;
"";;аяихлос коцаяиаслоу: GR7902600760000560200865596;;
"";;дийаиоувои коцаяиаслоу: йоукаоуфидгс ваяакалпос иыаммгс;;
